Weight,Number of Learning Problems, Open State, Final State, Steps, Path
10-90,200, (4-2), (1-7), 8, ->(4-3)->(3-3)->(3-4)->(3-5)->(3-6)->(3-7)->(2-7)->
10-90,200, (7-2), (7-1), 1, ->
10-90,200, (1-3), (1-7), 4, ->(1-4)->(1-5)->(1-6)->
10-90,200, (3-3), (1-7), 6, ->(3-4)->(3-5)->(3-6)->(3-7)->(2-7)->
10-90,200, (4-3), (1-7), 7, ->(3-3)->(3-4)->(3-5)->(3-6)->(3-7)->(2-7)->
10-90,200, (5-3), (1-7), 8, ->(4-3)->(3-3)->(3-4)->(3-5)->(3-6)->(3-7)->(2-7)->
10-90,200, (6-3), (1-7), 9, ->(6-4)->(6-5)->(5-5)->(5-6)->(5-7)->(4-7)->(3-7)->(2-7)->
10-90,200, (7-3), (1-7), 10, ->(6-3)->(6-4)->(6-5)->(5-5)->(5-6)->(5-7)->(4-7)->(3-7)->(2-7)->
10-90,200, (1-4), (1-7), 3, ->(1-5)->(1-6)->
10-90,200, (2-4), (1-7), 4, ->(1-4)->(1-5)->(1-6)->
10-90,200, (3-4), (1-7), 5, ->(3-5)->(3-6)->(3-7)->(2-7)->
10-90,200, (6-4), (1-7), 8, ->(6-5)->(5-5)->(5-6)->(5-7)->(4-7)->(3-7)->(2-7)->
10-90,200, (7-4), (1-7), 11, ->(7-3)->(6-3)->(6-4)->(6-5)->(5-5)->(5-6)->(5-7)->(4-7)->(3-7)->(2-7)->
10-90,200, (1-5), (1-7), 2, ->(1-6)->
10-90,200, (3-5), (1-7), 4, ->(3-6)->(3-7)->(2-7)->
10-90,200, (5-5), (1-7), 6, ->(5-6)->(5-7)->(4-7)->(3-7)->(2-7)->
10-90,200, (6-5), (1-7), 7, ->(5-5)->(5-6)->(5-7)->(4-7)->(3-7)->(2-7)->
10-90,200, (1-6), (1-7), 1, ->
10-90,200, (3-6), (1-7), 3, ->(3-7)->(2-7)->
10-90,200, (4-6), (1-7), 4, ->(4-7)->(3-7)->(2-7)->
10-90,200, (5-6), (1-7), 5, ->(5-7)->(4-7)->(3-7)->(2-7)->
10-90,200, (6-6), (1-7), 6, ->(5-6)->(5-7)->(4-7)->(3-7)->(2-7)->
10-90,200, (7-6), (1-7), 7, ->(6-6)->(5-6)->(5-7)->(4-7)->(3-7)->(2-7)->
10-90,200, (2-7), (1-7), 1, ->
10-90,200, (3-7), (1-7), 2, ->(2-7)->
10-90,200, (4-7), (1-7), 3, ->(3-7)->(2-7)->
10-90,200, (5-7), (1-7), 4, ->(4-7)->(3-7)->(2-7)->
10-90,200, (7-7), (1-7), 8, ->(7-6)->(6-6)->(5-6)->(5-7)->(4-7)->(3-7)->(2-7)->
10-90,300, (1-1), (1-3), -1, ->(1-2)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->
10-90,300, (2-1), (1-3), -1, ->(2-2)->(1-2)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->
10-90,300, (3-1), (1-3), -1, ->(2-1)->(2-2)->(1-2)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->
10-90,300, (4-1), (1-7), 9, ->(4-2)->(4-3)->(3-3)->(3-4)->(3-5)->(3-6)->(3-7)->(2-7)->
10-90,300, (5-1), (1-7), 10, ->(4-1)->(4-2)->(4-3)->(3-3)->(3-4)->(3-5)->(3-6)->(3-7)->(2-7)->
10-90,300, (1-2), (1-3), -1, ->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->
10-90,300, (2-2), (1-3), -1, ->(1-2)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->
10-90,300, (4-2), (1-7), 8, ->(4-3)->(3-3)->(3-4)->(3-5)->(3-6)->(3-7)->(2-7)->
10-90,300, (7-2), (1-7), 11, ->(7-3)->(6-3)->(6-4)->(6-5)->(6-6)->(5-6)->(5-7)->(4-7)->(3-7)->(2-7)->
10-90,300, (1-3), (1-3), -1, ->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->
10-90,300, (3-3), (1-7), 6, ->(3-4)->(3-5)->(3-6)->(3-7)->(2-7)->
10-90,300, (4-3), (1-7), 7, ->(3-3)->(3-4)->(3-5)->(3-6)->(3-7)->(2-7)->
10-90,300, (5-3), (1-7), 8, ->(4-3)->(3-3)->(3-4)->(3-5)->(3-6)->(3-7)->(2-7)->
10-90,300, (6-3), (1-7), 9, ->(6-4)->(6-5)->(6-6)->(5-6)->(5-7)->(4-7)->(3-7)->(2-7)->
10-90,300, (7-3), (1-7), 10, ->(6-3)->(6-4)->(6-5)->(6-6)->(5-6)->(5-7)->(4-7)->(3-7)->(2-7)->
10-90,300, (1-4), (1-7), 3, ->(1-5)->(1-6)->
10-90,300, (2-4), (1-7), 4, ->(1-4)->(1-5)->(1-6)->
10-90,300, (3-4), (1-7), 5, ->(3-5)->(3-6)->(3-7)->(2-7)->
10-90,300, (6-4), (1-7), 8, ->(6-5)->(6-6)->(5-6)->(5-7)->(4-7)->(3-7)->(2-7)->
10-90,300, (7-4), (1-7), 9, ->(6-4)->(6-5)->(6-6)->(5-6)->(5-7)->(4-7)->(3-7)->(2-7)->
10-90,300, (1-5), (1-7), 2, ->(1-6)->
10-90,300, (3-5), (1-7), 4, ->(3-6)->(3-7)->(2-7)->
10-90,300, (5-5), (1-7), 6, ->(5-6)->(5-7)->(4-7)->(3-7)->(2-7)->
10-90,300, (6-5), (1-7), 7, ->(6-6)->(5-6)->(5-7)->(4-7)->(3-7)->(2-7)->
10-90,300, (1-6), (1-7), 1, ->
10-90,300, (3-6), (1-7), 3, ->(3-7)->(2-7)->
10-90,300, (4-6), (1-7), 4, ->(4-7)->(3-7)->(2-7)->
10-90,300, (5-6), (1-7), 5, ->(5-7)->(4-7)->(3-7)->(2-7)->
10-90,300, (6-6), (1-7), 6, ->(5-6)->(5-7)->(4-7)->(3-7)->(2-7)->
10-90,300, (7-6), (1-7), 7, ->(6-6)->(5-6)->(5-7)->(4-7)->(3-7)->(2-7)->
10-90,300, (2-7), (1-7), 1, ->
10-90,300, (3-7), (1-7), 2, ->(2-7)->
10-90,300, (4-7), (1-7), 3, ->(3-7)->(2-7)->
10-90,300, (5-7), (1-7), 4, ->(4-7)->(3-7)->(2-7)->
10-90,300, (7-7), (1-7), 8, ->(7-6)->(6-6)->(5-6)->(5-7)->(4-7)->(3-7)->(2-7)->
10-90,400, (1-1), (1-3), -1, ->(1-2)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->
10-90,400, (2-1), (1-3), -1, ->(2-2)->(1-2)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->
10-90,400, (3-1), (1-3), -1, ->(2-1)->(2-2)->(1-2)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->
10-90,400, (4-1), (1-7), 9, ->(4-2)->(4-3)->(3-3)->(3-4)->(3-5)->(3-6)->(3-7)->(2-7)->
10-90,400, (5-1), (1-7), 10, ->(4-1)->(4-2)->(4-3)->(3-3)->(3-4)->(3-5)->(3-6)->(3-7)->(2-7)->
10-90,400, (1-2), (1-3), -1, ->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->
10-90,400, (2-2), (1-3), -1, ->(1-2)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->
10-90,400, (4-2), (1-7), 8, ->(4-3)->(3-3)->(3-4)->(3-5)->(3-6)->(3-7)->(2-7)->
10-90,400, (7-2), (1-7), 11, ->(7-3)->(7-4)->(6-4)->(6-5)->(6-6)->(5-6)->(5-7)->(4-7)->(3-7)->(2-7)->
10-90,400, (1-3), (1-3), -1, ->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->
10-90,400, (3-3), (1-7), 6, ->(3-4)->(3-5)->(3-6)->(3-7)->(2-7)->
10-90,400, (4-3), (1-7), 7, ->(3-3)->(3-4)->(3-5)->(3-6)->(3-7)->(2-7)->
10-90,400, (5-3), (1-7), 8, ->(4-3)->(3-3)->(3-4)->(3-5)->(3-6)->(3-7)->(2-7)->
10-90,400, (6-3), (1-7), 9, ->(6-4)->(6-5)->(6-6)->(5-6)->(5-7)->(4-7)->(3-7)->(2-7)->
10-90,400, (7-3), (1-7), 10, ->(7-4)->(6-4)->(6-5)->(6-6)->(5-6)->(5-7)->(4-7)->(3-7)->(2-7)->
10-90,400, (1-4), (1-7), 3, ->(1-5)->(1-6)->
10-90,400, (2-4), (1-7), 4, ->(1-4)->(1-5)->(1-6)->
10-90,400, (3-4), (1-7), 5, ->(3-5)->(3-6)->(3-7)->(2-7)->
10-90,400, (6-4), (1-7), 8, ->(6-5)->(6-6)->(5-6)->(5-7)->(4-7)->(3-7)->(2-7)->
10-90,400, (7-4), (1-7), 9, ->(6-4)->(6-5)->(6-6)->(5-6)->(5-7)->(4-7)->(3-7)->(2-7)->
10-90,400, (1-5), (1-7), 2, ->(1-6)->
10-90,400, (3-5), (1-7), 4, ->(3-6)->(3-7)->(2-7)->
10-90,400, (5-5), (1-7), 6, ->(5-6)->(5-7)->(4-7)->(3-7)->(2-7)->
10-90,400, (6-5), (1-7), 7, ->(6-6)->(5-6)->(5-7)->(4-7)->(3-7)->(2-7)->
10-90,400, (1-6), (1-7), 1, ->
10-90,400, (3-6), (1-7), 3, ->(3-7)->(2-7)->
10-90,400, (4-6), (1-7), 4, ->(4-7)->(3-7)->(2-7)->
10-90,400, (5-6), (1-7), 5, ->(5-7)->(4-7)->(3-7)->(2-7)->
10-90,400, (6-6), (1-7), 6, ->(5-6)->(5-7)->(4-7)->(3-7)->(2-7)->
10-90,400, (7-6), (1-7), 7, ->(6-6)->(5-6)->(5-7)->(4-7)->(3-7)->(2-7)->
10-90,400, (2-7), (1-7), 1, ->
10-90,400, (3-7), (1-7), 2, ->(2-7)->
10-90,400, (4-7), (1-7), 3, ->(3-7)->(2-7)->
10-90,400, (5-7), (1-7), 4, ->(4-7)->(3-7)->(2-7)->
10-90,400, (7-7), (1-7), 8, ->(7-6)->(6-6)->(5-6)->(5-7)->(4-7)->(3-7)->(2-7)->
10-90,500, (1-1), (1-3), -1, ->(1-2)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->
10-90,500, (2-1), (1-3), -1, ->(2-2)->(1-2)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->
10-90,500, (3-1), (1-3), -1, ->(2-1)->(2-2)->(1-2)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->
10-90,500, (4-1), (1-7), 9, ->(4-2)->(4-3)->(3-3)->(3-4)->(3-5)->(3-6)->(3-7)->(2-7)->
10-90,500, (5-1), (1-7), 10, ->(4-1)->(4-2)->(4-3)->(3-3)->(3-4)->(3-5)->(3-6)->(3-7)->(2-7)->
10-90,500, (1-2), (1-3), -1, ->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->
10-90,500, (2-2), (1-3), -1, ->(1-2)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->
10-90,500, (4-2), (1-7), 8, ->(4-3)->(3-3)->(3-4)->(3-5)->(3-6)->(3-7)->(2-7)->
10-90,500, (7-2), (1-7), 11, ->(7-3)->(7-4)->(6-4)->(6-5)->(6-6)->(5-6)->(5-7)->(4-7)->(3-7)->(2-7)->
10-90,500, (1-3), (1-3), -1, ->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->(1-3)->
10-90,500, (3-3), (1-7), 6, ->(3-4)->(3-5)->(3-6)->(3-7)->(2-7)->
10-90,500, (4-3), (1-7), 7, ->(3-3)->(3-4)->(3-5)->(3-6)->(3-7)->(2-7)->
10-90,500, (5-3), (1-7), 8, ->(4-3)->(3-3)->(3-4)->(3-5)->(3-6)->(3-7)->(2-7)->
10-90,500, (6-3), (1-7), 9, ->(6-4)->(6-5)->(6-6)->(5-6)->(5-7)->(4-7)->(3-7)->(2-7)->
10-90,500, (7-3), (1-7), 10, ->(7-4)->(6-4)->(6-5)->(6-6)->(5-6)->(5-7)->(4-7)->(3-7)->(2-7)->
10-90,500, (1-4), (1-7), 3, ->(1-5)->(1-6)->
10-90,500, (2-4), (1-7), 4, ->(1-4)->(1-5)->(1-6)->
10-90,500, (3-4), (1-7), 5, ->(3-5)->(3-6)->(3-7)->(2-7)->
10-90,500, (6-4), (1-7), 8, ->(6-5)->(6-6)->(5-6)->(5-7)->(4-7)->(3-7)->(2-7)->
10-90,500, (7-4), (1-7), 9, ->(6-4)->(6-5)->(6-6)->(5-6)->(5-7)->(4-7)->(3-7)->(2-7)->
10-90,500, (1-5), (1-7), 2, ->(1-6)->
10-90,500, (3-5), (1-7), 4, ->(3-6)->(3-7)->(2-7)->
